hostname	gaia_id	default_flag	st_refname	st_vsin	st_vsinerr1	st_vsinerr2	st_vsinlim	rowupdate	releasedate;;
HD 215497	Gaia DR2 6504232472302122624	1	<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>	1.67			0.0	2014-11-19	2014-11-19;;
HD 216435	Gaia DR2 6515731817739456256	1	<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>					2014-07-23	2014-07-23;;
HD 216437	Gaia DR2 6384510877400590336	1	<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>					2019-06-24	2019-06-27;;
HD 216520	Gaia DR2 2299942278201276288	1	<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>	0.2	0.5	-0.5	0.0	2020-12-10	2020-12-17;;
HD 216520	Gaia DR2 2299942278201276288	1	<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...10B/abstract target=ref>Burt et al. 2021</a>	0.2	0.5	-0.5	0.0	2020-12-10	2020-12-17;;
HD 216536	Gaia DR2 1935534781542402176	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 216770	Gaia DR2 6610107504955838336	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 21693	Gaia DR2 4729947569262040960	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.6			0.0	2019-02-05	2019-02-07;;
HD 21693	Gaia DR2 4729947569262040960	1	<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>	1.6			0.0	2019-02-05	2019-02-07;;
HD 217107	Gaia DR2 2648914040357320576	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 217107	Gaia DR2 2648914040357320576	1	<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>					2014-05-14	2014-05-14;;
GJ 143	Gaia DR2 4673947174316727040	1	<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>					2019-04-22	2019-04-25;;
HD 217786	Gaia DR2 2650902026099857920	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 217786	Gaia DR2 2650902026099857920	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-21	2022-09-21;;
HD 217850	Gaia DR2 2013333544271181824	1	<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>					2018-09-25	2018-09-27;;
HD 218566	Gaia DR2 2638410646295370880	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 219077	Gaia DR2 6489771832811810432	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 219134	Gaia DR2 2009481748875806976	1	<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>					2017-03-14	2017-03-16;;
HD 219134	Gaia DR2 2009481748875806976	1	<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>					2017-03-14	2017-03-16;;
HD 219134	Gaia DR2 2009481748875806976	1	<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>					2017-03-14	2017-03-16;;
HD 219134	Gaia DR2 2009481748875806976	1	<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>					2017-03-14	2017-03-16;;
HD 219134	Gaia DR2 2009481748875806976	1	<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>					2015-11-18	2015-11-19;;
HD 219134	Gaia DR2 2009481748875806976	1	<a refstr=VOGT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...12V/abstract target=ref>Vogt et al. 2015</a>					2015-11-18	2015-11-19;;
HD 219139	Gaia DR2 2810597431380568448	1	<a refstr=TENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PASJ..tmp..128T/abstract target=ref>Teng et al. 2021</a>	2.04			0.0	2022-01-10	2022-01-10;;
HD 219415	Gaia DR2 2009255593080688640	1	<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>					2015-09-16	2015-09-18;;
HD 219666	Gaia DR2 6492940453524576128	1	<a refstr=ESPOSITO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.165E/abstract target=ref>Esposito et al. 2019</a>	2.2	0.8	-0.8	0.0	2019-03-01	2019-03-05;;
HD 219828	Gaia DR2 2824958015312906240	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-21	2022-09-21;;
HD 219828	Gaia DR2 2824958015312906240	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 220074	Gaia DR2 2014988549785194752	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 220197	Gaia DR2 2817634821194781824	1	<a refstr=BARBATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...621A.110B/abstract target=ref>Barbato et al. 2019</a>	1.5	0.5	-0.5	0.0	2019-11-18	2019-11-21;;
HD 220689	Gaia DR2 2391838429257482496	1	<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>					2019-06-24	2019-06-27;;
HD 220773	Gaia DR2 2761142326076104192	1	<a refstr=ROBERTSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749...39R/abstract target=ref> Robertson et al. 2012 </a>					2019-01-28	2019-01-31;;
HD 220842	Gaia DR2 1997273733835247616	1	<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>	3.4	1.0	-1.0	0.0	2016-02-24	2016-02-25;
HD 221287	Gaia DR2 6489603813690967808	1	<a refstr=NAEF_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...470..721N/abstract target=ref> Naef et al. 2007 </a>					2014-05-14	2014-05-14;;
HD 221416	Gaia DR2 2388463203438164096	1	<a refstr=HUBER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..245H/abstract target=ref>Huber et al. 2019</a>	2.8	1.6	-1.6	0.0	2019-04-16	2019-04-18;;
HD 221420	Gaia DR2 6353376831270492800	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 221585	Gaia DR2 2016655237613545728	1	<a refstr=D_IACUTE_AZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...591A.146D/abstract target=ref>D&iacute;az et al. 2016</a>	3.7			0.0	2016-05-18	2016-05-19;
HD 222076	Gaia DR2 6386468454774591744	1	<a refstr=WITTENMYER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...51W/abstract target=ref>Wittenmyer et al. 2017</a>					2016-11-30	2016-12-01;;
HD 222155	Gaia DR2 1943363751009454976	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 222582	Gaia DR2 2440578577126302336	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 224538	Gaia DR2 6488009143872441216	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 224693	Gaia DR2 2340155679036275200	1	<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>					2018-09-25	2018-09-27;;
HD 22496	Gaia DR2 4833654227548585856	1	<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A..60L/abstract target=ref>Lillo-Box et al. 2021</a>					2021-09-20	2021-09-20;;
HD 22532	Gaia DR2 4832768399133598080	1	<a refstr=OTTONI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...657A..87O/abstract target=ref>Ottoni et al. 2022</a>					2022-02-01	2022-02-01;;
HD 22781	Gaia DR2 217334764042444288	1	<a refstr=DIAZ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...538A.113D/abstract target=ref> D&iacute;az et al. 2012 </a>	1.73	1.0	-1.0	0.0	2019-01-28	2019-01-31;
HD 23079	Gaia DR2 4733035238430992768	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 23127	Gaia DR2 4680773217379728128	1	<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>					2019-06-24	2019-06-27;;
HD 231701	Gaia DR2 4321678767076043264	1	<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>					2018-09-25	2018-09-27;;
HD 233604	Gaia DR2 1023492257121204352	1	<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>	2.0	0.8	-0.8	0.0	2014-05-14	2014-05-14;;
HD 233832	Gaia DR2 790236569003888000	1	<a refstr=BARBATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...621A.110B/abstract target=ref>Barbato et al. 2019</a>	0.8	0.5	-0.5	0.0	2019-11-18	2019-11-21;;
HD 23472	Gaia DR2 4674216245427964416	1	<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>	1.45	0.17	-0.17	0.0	2022-10-03	2022-10-03;;
HD 23472	Gaia DR2 4674216245427964416	1	<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>	1.45	0.17	-0.17	0.0	2022-10-03	2022-10-03;;
HD 23472	Gaia DR2 4674216245427964416	1	<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>	1.45	0.17	-0.17	0.0	2022-10-03	2022-10-03;;
HD 23472	Gaia DR2 4674216245427964416	1	<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>	1.45	0.17	-0.17	0.0	2022-10-03	2022-10-03;;
HD 23472	Gaia DR2 4674216245427964416	1	<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>	1.45	0.17	-0.17	0.0	2022-10-03	2022-10-03;;
HD 23596	Gaia DR2 224870885460646016	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 238090	Gaia DR2 1573086442800134272	1	<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A.112S/abstract target=ref>Stock et al. 2020</a>	2.0			1.0	2021-02-26	2021-03-04;;
HD 238914	Gaia DR2 2154807121292791040	1	<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>	2.5	0.5	-0.5	0.0	2018-01-23	2018-01-25;
HD 240210	Gaia DR2 2009148596857820160	1	<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>	1.0	1.0	-1.0	1.0	2014-11-19	2014-11-19;;
HD 240237	Gaia DR2 2010336687886382592	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 24040	Gaia DR2 43802039287826432	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 24040	Gaia DR2 43802039287826432	1	<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>					2021-09-20	2021-09-20;;
HD 24064	Gaia DR2 549832131164952832	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 24085	Gaia DR2 4666907516760096512	1	<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>					2019-05-20	2019-05-23;;
HD 25015	Gaia DR2 5094032153102626688	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 25171	Gaia DR2 4670023700215616768	1	<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>					2019-06-24	2019-06-27;;
HD 25723	Gaia DR2 3188967248247014784	1	<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>	3.66	1.4	-1.4	0.0	2021-10-25	2021-10-25;;
HD 260655	Gaia DR2 3359074685047632640	1	<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>	2.0			1.0	2022-06-27	2022-06-27;;
HD 260655	Gaia DR2 3359074685047632640	1	<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>	2.0			1.0	2022-06-27	2022-06-27;;
HD 26161	Gaia DR2 169149766470219520	1	<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>					2021-09-20	2021-09-20;;
HD 2638	Gaia DR2 2526925389919277056	1	<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>					2018-09-04	2018-09-06;;
HD 2685	Gaia DR2 4684205720883329920	1	<a refstr=JONES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..16J/abstract target=ref>Jones et al. 2019</a>	15.4	0.2	-0.2	0.0	2019-10-18	2019-10-24;;
HD 26965	Gaia DR2 3195919528988725120	1	<a refstr=MA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.2411M/abstract target=ref>Ma et al. 2018</a>					2018-08-06	2018-08-09;;
HD 27442	Gaia DR2 4678664766394767616	1	<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>	2.8	0.5	-0.5	0.0	2014-07-23	2014-07-23;;
HD 27631	Gaia DR2 4840050395924931968	1	<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>					2019-06-24	2019-06-27;;
HD 27894	Gaia DR2 4678605152248591488	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-21	2022-09-21;;
HD 27894	Gaia DR2 4678605152248591488	1	<a refstr=TRIFONOV_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602L...8T/abstract target=ref>Trifonov et al. 2017</a>					2017-06-13	2017-06-15;;
HD 27894	Gaia DR2 4678605152248591488	1	<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>					2022-09-19	2022-09-19;;
HD 27969	Gaia DR2 228532602782156288	1	<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>	4.1	1.0	-1.0	0.0	2021-07-26	2021-07-26;;
HD 28109	Gaia DR2 4668163021600295552	1	<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>	7.7	0.5	-0.5	0.0	2022-06-08	2022-06-08;;
HD 28109	Gaia DR2 4668163021600295552	1	<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>	7.7	0.5	-0.5	0.0	2022-06-08	2022-06-08;;
HD 28109	Gaia DR2 4668163021600295552	1	<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>	7.7	0.5	-0.5	0.0	2022-06-08	2022-06-08;;
